Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400125,5/17/2012,in Ordnung,nein,nein, , , , , ,
400046,5/17/2012,in Ordnung,nein,ja,0,8,5,Blaumeise,8,
400063,5/17/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400121,5/17/2012,in Ordnung,nein,ja,5,0, ,Kohlmeise,0,Weibchen beringt
400064,5/17/2012,in Ordnung,nein,ja,0,5,4,Kohlmeise,0,Weibchen beringt
400124,5/17/2012,in Ordnung,nein,ja,0,8,6,Kohlmeise,8,
400123,5/17/2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,Weibchen beringt
400122,5/17/2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400138,5/17/2012,in Ordnung,nein,nein, , , , , ,
400137,5/17/2012,in Ordnung,nein,ja,3,4,8,Kohlmeise,4,
400130,5/17/2012,in Ordnung,nein,ja,6,0, ,Trauerschnäpper, ,Weibchen beringt
400136,5/17/2012,in Ordnung,nein,ja,5,0, ,Kohlmeise, ,
400131,5/17/2012,in Ordnung,nein,ja,0,8,3,Meise unbestimmt,0,
400135,5/17/2012,in Ordnung,nein,ja,0,5,3,Meise unbestimmt,0,
400132,5/17/2012,in Ordnung,nein,nein, , , , , ,
400129,5/17/2012,in Ordnung,nein,ja,8,0, ,Kohlmeise,0,Weibchen beringt
400128,5/17/2012,in Ordnung,nein,ja,1,6,8,Kohlmeise,6,
400127,5/17/2012,in Ordnung,nein,ja,0,11,12,Kohlmeise,11,
400041,5/17/2012,in Ordnung,nein,ja,13,0, ,Blaumeise, ,
400045,5/17/2012,in Ordnung,nein,ja,2,5,8,Blaumeise,5,Weibchen beringt
400193,5/17/2012,in Ordnung,nein,ja,7,3,5,Blaumeise,3,
400042,5/17/2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,Weibchen beringt
400126,5/17/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400134,5/17/2012,in Ordnung,nein,ja,0,6,6,Kohlmeise,6,
400033,5/17/2012,in Ordnung,nein,nein, , , , , ,
400021,5/17/2012,in Ordnung,nein,nein, , , , , ,
400020,5/17/2012,in Ordnung,nein,nein, , , , , ,
400012,5/17/2012,in Ordnung,nein,ja,2,7,5,Blaumeise,7,
400023,5/17/2012,in Ordnung,nein,nein, , , , , ,
