Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,UTM-Hoch,UTM-Rechts,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Daten aktualisiert
900275,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900276,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900277,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900278,,Vechta,Ludgerusschule,5843455,452249,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900279,,Vechta,Ludgerusschule,5843652,452209,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900280,,Vechta,Ludgerusschule,5843497,452267,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900281,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900282,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,Halbhöhle,,
900283,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900284,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900285,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900286,,Vechta,Ludgerusschule,5843509,452242,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900287,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900288,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900289,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900290,,Vechta,Ludgerusschule,5843611,452209,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900291,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900292,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,Halbhöhle,,
900293,,Vechta,Füchteler Wald,5841529,453587,01-01-1999,NABU Vechta,Holz unbeschichtet,mittel,,
900294,,Stoppelmarkt,Nerkamp,,,01-01-1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900295,,Stoppelmarkt,Nerkamp,,,01-01-2014,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900296,,Stoppelmarkt,Nerkamp,,,01-01-2014,Ludger Nerkamp,Holz beschichtet,mittel,Dreiloch,
900297,,Stoppelmarkt,Nerkamp,,,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900298,,Vechta,Landkreis Vechta,5842761,452480,01-01-2015,unbekannt,Holz unbeschichtet,mittel,Haus Gabriel,
900299,,Oythe,Thesings Kreuz,5844545,453748,01-01-1999,unbekannt,Holz unbeschichtet,mittel,,
900300,,Oythe,Thesings Kreuz,5844534,453739,01-01-1999,unbekannt,Holz beschichtet,groß,,
900301,,Stoppelmarkt,Nerkamp,5844374,451913,01-01-2015,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900302,,Vechta,Füchteler Wald,5841446,453534,01-01-2015,NABU Vechta,Holz beschichtet,mittel,,
900303,,Vechta,Füchteler Wald,5841523,453581,01-01-2015,NABU Vechta,Holz beschichtet,mittel,,
900304,,Vechta,Füchteler Wald,5841677,453616,01-01-2015,NABU Vechta,Holz beschichtet,mittel,,
900305,,Vechta,Füchteler Wald,5841707,453636,01-01-2015,NABU Vechta,Holz unbeschichtet,mittel,,
900306,,Vechta,Füchteler Wald,5841738,453562,01-01-2015,NABU Vechta,Holz unbeschichtet,mittel,,
900307,,Vechta,Darener Wald,5841932,448790,01-01-1999,unbekannt,Holz unbeschichtet,Halbhöhle,,
900308,,Vechta,Darener Wald,5841513,448510,01-01-2015,unbekannt,Holz unbeschichtet,sehr groß,,
900309,,Vechta,Darener Wald,5841415,448297,01-01-2015,unbekannt,Holz unbeschichtet,mittel,,
900310,,Vechta,Darener Wald,5841395,448339,01-01-2015,unbekannt,Holz unbeschichtet,Halbhöhle,,
900311,,Vechta,Darener Wald,5841438,448324,01-01-2015,unbekannt,Holz unbeschichtet,Sonstiges,Baumläufer,
900312,,Vechta,Darener Wald,5841511,448427,01-01-2015,unbekannt,Holz unbeschichtet,mittel,,
900313,,Vechta,Darener Wald,5841417,448209,01-01-2015,unbekannt,Holz unbeschichtet,mittel,,
900314,,Vechta,Darener Wald,5841399,448159,01-01-2015,unbekannt,Holz unbeschichtet,mittel,,
900315,,Vechta,Gramann/Vor dem Moore,5838484,452865,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,klein,,26-03-2017
900316,,Vechta,Gramann/Vor dem Moore,5838463,452799,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,mittel,,26-03-2017
900317,,Vechta,Gramann/Vor dem Moore,5838488,452862,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,mittel,,26-03-2017
900318,,Vechta,Gramann/Vor dem Moore,5838464,452804,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,,26-03-2017
900319,,Vechta,Gramann/Vor dem Moore,5838214,453083,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,Storchenmast,26-03-2017
900320,,Vechta,Gramann/Vor dem Moore,5838214,453083,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,Storchenmast,26-03-2017
900321,,Vechta,Gramann/Vor dem Moore,5838214,453083,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,Storchenmast,26-03-2017
900322,,Vechta,Gramann/Vor dem Moore,5838514,452873,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,,26-03-2017
900323,,Vechta,Gramann/Vor dem Moore,5838506,452900,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,groß,,26-03-2017
900324,,Vechta,Gramann/Vor dem Moore,5838485,452880,23-03-2017,NABU Lohne,HolzbetonLudgeruswerk,mittel,,26-03-2017
900325,,Vechta,Gramann/Vor dem Moore,5838493,452855,23-03-2017,NABU Lohne,Holzbeton,Sonstiges,Baumläufer,26-03-2017
900326,,Vechta,Gramann/Vor dem Moore,5838464,452800,23-03-2017,NABU Lohne,Holzbeton,Sonstiges,Baumläufer,26-03-2017
