Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
900093,14-05-2012,in Ordnung,nein,ja,0,11,1,Blaumeise,0,Weibchen beringt
900094,14-05-2012,in Ordnung,nein,ja,0,7,6,Blaumeise,6,
900095,14-05-2012,in Ordnung,nein,ja,0,6,5,Kohlmeise,6,
900096,14-05-2012,in Ordnung,nein,ja,14,0, ,Blaumeise, ,
900097,14-05-2012,in Ordnung,nein,ja,0,5,12,Kleiber,5,
900098,14-05-2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,
900099,14-05-2012,in Ordnung,nein,ja,1,11,5,Blaumeise,11,
900100,14-05-2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
900101,14-05-2012,in Ordnung,nein,ja,0,5,2,Kleiber,0,Weibchen beringt
900102,14-05-2012,in Ordnung,nein,ja,0,7,3,Kohlmeise,0,
900103,14-05-2012,in Ordnung,nein,ja,0,8,3,Blaumeise,0,
900104,14-05-2012,in Ordnung,nein,ja,0,6,2,Kohlmeise,0,
900105,14-05-2012,in Ordnung,nein,ja,0,7,2,Meise unbestimmt,0,
900106,14-05-2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,
900107,14-05-2012,in Ordnung,nein,ja,0,5,6,Kohlmeise,0,
900108,14-05-2012,in Ordnung,nein,ja,0,8,2,Kohlmeise,0,
900109,14-05-2012,in Ordnung,nein,nein, , , , , ,
900110,14-05-2012,in Ordnung,nein,ja,0,7,2,Blaumeise,0,Weibchen beringt
900111,14-05-2012,in Ordnung,nein,nein, , , , , ,
900112,14-05-2012,in Ordnung,nein,ja,8,0,0,Kohlmeise, ,
400082,15-05-2012,in Ordnung,nein,ja,0,10,6,Blaumeise,10,
400069,15-05-2012,in Ordnung,nein,ja,9,0, ,Blaumeise, ,
400079,15-05-2012,in Ordnung,nein,ja,10,0, ,Blaumeise, ,
400070,15-05-2012,in Ordnung,nein,ja,0,7,2,Meise unbestimmt,0,
400066,15-05-2012,in Ordnung,nein,ja,0,7,3,Meise unbestimmt,0,
400068,15-05-2012,in Ordnung,nein,ja,0,0,0,unbestimmt, ,
400197,15-05-2012,in Ordnung,nein,ja,5,0, ,Feldsperling, ,
400198,15-05-2012,in Ordnung,nein,nein, , , , , ,
400199,15-05-2012,in Ordnung,nein,ja,2,8,1,Blaumeise,0,
400077,15-05-2012,in Ordnung,nein,ja,0,4,13,Kohlmeise,4,
400200,15-05-2012,in Ordnung,nein,nein, , , , , ,
400201,15-05-2012,in Ordnung,nein,ja,0,6,2,Blaumeise,0,Weibchen beringt
400202,15-05-2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,Weibchen beringt
400074,15-05-2012,in Ordnung,nein,ja,5,0, ,Kohlmeise, ,
400203,15-05-2012,in Ordnung,nein,ja,0,8,8,Kohlmeise,8,
400205,15-05-2012,in Ordnung,nein,ja,0,10,4,Blaumeise,0,Männchen beringt
400204,15-05-2012,in Ordnung,nein,ja,0,9,2,Blaumeise,0,
400206,15-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400207,15-05-2012,in Ordnung,nein,nein, , , , , ,
400067,15-05-2012,in Ordnung,nein,ja,0,7,6,Kohlmeise,7,
400210,15-05-2012,in Ordnung,nein,ja,0,7,15,Kohlmeise,7,
400208,15-05-2012,in Ordnung,nein,nein, , , , , ,
400209,15-05-2012,in Ordnung,nein,nein, , , , , ,
400065,15-05-2012,in Ordnung,nein,nein, , , , , ,
400075,15-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400081,15-05-2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,
400211,15-05-2012,in Ordnung,nein,ja,0,7,7,Kohlmeise,7,Weibchen beringt
400212,15-05-2012,in Ordnung,nein,ja,0,5,6,Kohlmeise,5,
400213,15-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400214,15-05-2012,in Ordnung,nein,nein, , , , , ,
400215,15-05-2012,in Ordnung,nein,ja,0,8,2,Blaumeise,0,Weibchen beringt
400055,15-05-2012,in Ordnung,nein,ja,0,8,8,Kohlmeise,8,
400036,15-05-2012,in Ordnung,nein,nein, , , , , ,
400002,15-05-2012,in Ordnung,nein,nein, , , , , ,
400014,15-05-2012,in Ordnung,ja,ja,0,10,2,Blaumeise,0,alle Jungvögel tot
400003,15-05-2012,in Ordnung,nein,nein, , , , , ,
400020,15-05-2012,in Ordnung,nein,nein, , , , , ,
400022,15-05-2012,in Ordnung,nein,ja,0,9,1,Meise unbestimmt,0,
400037,15-05-2012,in Ordnung,nein,nein, , , , , ,
400026,15-05-2012,in Ordnung,nein,ja,10, , ,Blaumeise, ,
400029,15-05-2012,in Ordnung,nein,ja,0,7,8,Blaumeise,7,
400019,15-05-2012,in Ordnung,nein,ja,0,9,14,Kohlmeise,9,
400004,15-05-2012,in Ordnung,nein,nein, , , , , ,
400027,15-05-2012,in Ordnung,nein,nein, , , , , ,
400031,15-05-2012,in Ordnung,nein,nein, , , , , ,
400030,15-05-2012,in Ordnung,nein,ja,0,8,5,Kohlmeise,0,
400025,15-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400017,15-05-2012,in Ordnung,nein,nein, , , , , ,
400028,15-05-2012,in Ordnung,nein,ja,0,7,16,Kleiber,7,
400011,15-05-2012,in Ordnung,nein,nein, , , , , ,
400035,15-05-2012,in Ordnung,nein,nein, , , , , ,
400016,15-05-2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
400007,15-05-2012,in Ordnung,nein,nein, , , , , ,
